#
# Joint Pamir-Hindu Kush earthquake catalog for events deeper 50 km from Kufner et al., 2016
# obtained from the TIPAGE/FERGHANA/TIPTIMON networks 
# (Mechie et al., 2012/Feld et al., 2015/Schurr et al., 2012/13)
# between 2012-14 & 2008-10.
#
# Pamir events are mainly relocated from Sippl et al., 2013 (JGR)
# 
# See Kufner et. al. 2016 for details on location procedure 
# - "absError(km)" -- absolute location error (value refers to the radius of a sphere with the same volume as the error ellipsoide calculated in NonLinLoc)  
# - "AveragedRelativeError (km)" -- averaged relative location error from the double difference scheme. "-" if only single event location exists. 
# - the separation in "deepPamir" and "deepHinduKush" events is mainly due to the different dip angles of the seismic domains beneath Pamir and Hindu Kush
#   
# longitude(deg) latitude(deg) depth(km) local_magnitude absError(km) AveragedRelativeError(km) area(deepPamir/deepHinduKush)
71.527 36.712 74.66 3.0 3.4 1.9 deepPamir
70.995 36.462 74.74 2.5 5.8 - deepHinduKush
71.095 36.765 74.76 3.0 2.7 1.9 deepPamir
70.724 37.227 74.78 4.5 2.9 - deepPamir
71.245 37.116 74.78 3.0 2.4 1.9 deepPamir
75.720 38.549 74.78 2.5 - 1.9 deepPamir
70.875 36.471 74.83 2.8 8.5 - deepHinduKush
71.176 36.510 74.84 3.5 5.0 1.9 deepHinduKush
70.784 36.127 74.86 4.0 2.6 1.9 deepHinduKush
71.243 36.782 74.89 3.6 1.7 1.9 deepPamir
71.550 36.487 74.92 2.5 2.8 - deepHinduKush
70.079 35.803 74.93 3.4 4.0 - deepHinduKush
71.158 36.307 74.96 2.9 6.2 1.9 deepHinduKush
70.528 36.163 74.99 4.0 2.6 1.9 deepHinduKush
71.191 37.052 75.10 3.6 1.9 1.9 deepPamir
70.669 36.185 75.13 3.0 2.9 1.9 deepHinduKush
71.397 36.651 75.14 3.1 5.7 1.9 deepHinduKush
71.299 36.801 75.22 2.7 4.1 1.9 deepPamir
71.648 36.871 75.26 2.5 2.8 1.9 deepPamir
71.123 36.076 75.29 2.7 5.7 1.9 deepHinduKush
71.248 36.528 75.30 2.9 3.3 1.9 deepHinduKush
71.245 37.034 75.31 3.1 2.7 1.9 deepPamir
71.261 36.937 75.36 4.4 1.9 1.9 deepPamir
71.149 37.110 75.38 3.5 2.3 1.9 deepPamir
69.800 35.967 75.41 3.1 3.7 1.9 deepHinduKush
71.206 36.457 75.43 3.2 6.7 1.9 deepHinduKush
71.753 36.697 75.45 3.1 4.0 - deepHinduKush
71.051 36.106 75.50 5.1 6.5 - deepHinduKush
71.380 36.372 75.50 2.8 2.5 1.9 deepHinduKush
71.146 37.114 75.53 3.9 2.6 1.9 deepPamir
71.327 36.317 75.53 3.0 4.2 1.9 deepHinduKush
71.241 37.121 75.57 2.4 2.4 1.9 deepPamir
71.991 37.181 75.59 2.6 3.8 - deepPamir
71.272 36.502 75.62 3.1 2.9 1.9 deepHinduKush
71.175 36.388 75.65 3.9 4.8 1.9 deepHinduKush
71.009 36.100 75.67 3.2 4.0 1.9 deepHinduKush
70.776 35.983 75.71 3.4 5.3 1.9 deepHinduKush
71.207 36.938 75.72 4.6 1.6 1.9 deepPamir
71.315 36.525 75.72 2.9 4.1 1.9 deepHinduKush
71.374 37.670 75.73 3.2 2.7 - deepPamir
71.167 36.974 75.74 3.0 3.1 1.9 deepPamir
70.697 36.428 75.76 2.4 6.0 - deepHinduKush
71.576 36.441 75.80 2.2 8.4 - deepHinduKush
71.522 37.344 75.84 2.5 21.4 - deepPamir
71.178 36.885 75.85 3.7 2.1 1.9 deepPamir
69.868 35.427 75.86 3.5 5.1 - deepHinduKush
70.439 36.159 75.90 4.4 7.7 1.9 deepHinduKush
70.707 36.211 76.00 3.2 3.3 1.9 deepHinduKush
71.089 36.116 76.00 3.8 4.2 1.9 deepHinduKush
70.516 36.166 76.03 3.9 2.8 1.9 deepHinduKush
71.083 36.165 76.03 2.6 3.3 1.9 deepHinduKush
71.312 36.437 76.03 3.1 3.4 1.9 deepHinduKush
